PHONE_USE_MTH,L90D_RG_CTT_TM,SCR_CELL_CALLED_TIMES,SCR_CELL_CALLED_PHONE_CNT,SCR_CELL_CTT_DAYS_CNT,SCR_CELL_CALLED_CTT_DAYS_CNT,SCR_CELL_180_CALLING_SUBTTL,SCR_CELL_MRNG_CALLED_TIMES,SCR_CELL_CALL_TTL_TIME,SCR_CELL_AFTN_CALL_TTL_TIME,SCR_CELL_NIGHT_CALL_TTL_TIME,SCR_CELL_90DAY_CALLING_TIMES,SCR_CELL_90DAY_CALL_TIMES,SCR_CELL_CALL_PHONE_CNT,SCR_CELL_CALLING_CTT_DAYS_CNT,SCR_CELL_CALLED_TTL_TIME,SCR_CELL_NIGHT_CALLED_TTL_TIME,SCR_CELL_AFTN_CALLING_TTL_TIME,SCR_CELL_NIGHT_CALLING_TTL_TIME,SCR_CELL_DAY_CALLING_TTL_TIME,SCR_CELL_EVN_CALL_TTL_TIME,SCR_CELL_CALLING_TTL_TIME,SCR_CELL_90DAY_CALLING_TTL_TIME,SCR_CELL_CALL_SMY_ANS_AFTN_CNT,SCR_CELL_CALL_SMY_ANS_AFTN_TM,SCR_CELL_LOCAL_CALL_TIME,SCR_CELL_90DAY_CALL_TTL_TIME,SCR_CELL_CALL_LSTM2_CONTACTS_CNT,SCR_CELL_NET_LSTM6_ONL_FLOW,SMS_L150D_TTL_PPL,SMS_L30D_SEND_CNT,SMS_L30D_TOTAL_CNT,sms_l90d_send_cnt,sms_l90d_total_cnt,SCR_CELL_SMS_LSTM3_SEND_CNT,TRC_LSM1_AVG_PLAN_AMT,TRC_LSM1_AVG_TOTAL_AMT,TRC_LSM5_PLAN_AMT,TRC_LSM5_TOTAL_AMT,SCR_CELL_MAX_PLAN_AMT,SCR_CELL_PH_USE_MONS
1,4979,298,111,50,31,0,90,49265,17616,3095,0,0,218,0,21255,3575,0,0,0,370,0,0,117,8570,0,49265,158,-9999999,80,30,641,85,1617,79,0,0,796,0,199,1
51,150,1348,152,172,169,0,428,62171,18166,7185,0,0,248,172,25075,6674,10447,4616,24178,1415,37096,11581,414,7719,0,19665,121,-9999999,50,30,30,51,51,51,99,125.15,495,640.95,99,51
1,671,25,17,40,17,0,5,7373,2716,347,0,0,35,0,1312,434,0,0,0,0,0,0,8,619,0,7373,20,-9999999,13,0,26,6,125,12,299,0,1495,0,299,1
5,13591,1161,285,172,172,0,288,161018,41812,15053,0,0,361,169,85836,38442,20523,9425,35896,1895,75182,35164,345,21289,0,87623,179,-9999999,23,47,47,103,103,116,0,492.94,0,2155.3,0,5
2,3722,257,109,15,15,0,84,23543,7743,689,0,0,149,15,13618,3322,3376,223,5996,214,9925,9925,89,4367,0,23543,149,-9999999,0,0,0,0,0,0,0,474,0,1720.42,0,2
5,32836,615,194,168,164,0,115,130527,68274,5235,0,0,218,91,97816,22070,4094,3185,5165,565,32711,18320,235,64180,0,65933,98,-9999999,2,1,1,7,7,7,0,253.4,0,1377.4,0,5
5,18578,1594,513,172,172,0,651,130449,50943,7890,0,0,627,166,84747,9114,16932,3934,35864,682,45702,25822,618,34011,0,71116,294,-9999999,25,425,425,1184,1184,1070,0,684.03,1515,5666.66,528,5
29,4628,674,89,161,158,0,217,70267,23151,10351,0,0,127,107,39307,7900,8074,4971,16666,314,30479,21336,255,14932,30479,48739,78,-9999999,2,1,1,10,10,14,110,159.8,390,569.41,110,29
5,1160,898,143,171,163,0,255,91877,20747,15253,0,0,177,162,37368,14255,11997,10774,23757,3584,54509,35130,222,8750,0,54800,78,-9999999,10,7,7,15,15,16,56,88.31,274,334.91,56,5
5,15541,1667,453,172,172,0,585,587578,194435,42153,0,0,668,167,281859,82635,96881,25590,207258,4932,305719,156078,568,97554,0,293979,364,-9999999,35,125,125,348,348,399,129,230.6,546,736.65,159,5
47,6592,247,163,119,95,0,72,33629,17153,686,0,0,240,65,11314,3880,10143,238,14902,178,18507,4614,113,5037,0,10324,47,-9999999,9,10,13,10,14,8,76,79,580,594.4,176,47
37,7849,1076,287,168,162,0,145,215207,73709,45101,0,0,309,146,134644,44398,28133,19322,33540,30824,80563,55812,370,45576,156188,120268,127,-9999999,25,853,853,2059,2059,1905,204.42,217.77,1017.04,1071.43,213.11,37
36,19102,896,312,166,159,38.57,315,89247,41234,6465,0,0,363,148,54227,6666,17163,2205,26653,3885,35020,22978,380,24071,5161,57035,179,-9999999,7,106,106,222,222,176,88,88.9,639.99,710.8,197.99,36
5,463,151,56,120,91,0,51,31098,5501,6897,0,0,73,81,16961,5270,2739,4397,6376,2765,14137,7466,38,2762,0,14753,29,-9999999,1,1,1,2,2,1,169,229,845,916.5,169,5
5,10594,886,174,169,165,0,308,134380,47631,15416,0,0,315,148,87077,15600,17461,4476,32632,3494,47303,14926,275,30170,0,52166,133,-9999999,27,463,463,1357,1357,1419,209,220.3,965,1068.75,209,5
47,2068,552,201,159,153,0,192,50882,23835,2063,0,0,239,98,25366,7038,13187,824,19003,349,25516,5924,204,10648,24066,16843,82,-9999999,11,5,5,52,52,81,18,23.19,585,632.18,225,47
1,180,24,12,31,16,0,9,16228,2990,6352,0,0,24,0,2959,1201,0,0,0,6143,0,0,7,766,0,16228,16,-9999999,15,54,128,180,403,190,169,0,845,0,169,1
21,2431,114,48,79,56,0,25,27542,8514,1645,0,0,78,55,6585,2559,6891,781,12571,766,20957,6191,41,1623,929,8915,38,-9999999,6,2,2,16,16,15,99,151.8,495,615.81,99,21
1,10842,393,145,50,31,0,162,99016,34417,4225,0,0,307,0,31175,7514,0,0,0,197,0,0,125,10885,0,99016,209,-9999999,110,85,178,198,514,183,169,0,845,0,169,1
5,7672,459,115,154,142,0,110,59077,21249,11621,0,0,156,108,35928,8714,7897,5129,12043,3118,23149,15178,184,13352,0,35017,54,-9999999,5,6,6,7,7,2,0,0,0,409.2,0,5
5,18176,3249,435,173,173,0,822,515131,175000,57203,0,0,704,172,239436,70243,94909,33698,180397,13708,275695,132102,1160,80091,0,250540,330,-9999999,84,98,98,206,206,179,0,489,0,3016.59,0,5
5,6684,435,124,147,124,0,128,69430,27569,2692,0,0,152,123,34448,12774,16624,1388,23518,281,34982,27843,161,10945,0,53091,96,-9999999,31,453,453,1222,1222,1158,334,79,1590,504.3,334,5
144,1978,735,67,170,162,0,220,93505,35366,6338,0,0,83,158,57701,15765,11914,3744,21627,1120,35804,21381,271,23452,87478,56250,36,-9999999,4,43,43,113,113,109,81,80.77,405,405.27,81,144
5,18770,4216,614,173,173,0,1389,344077,151470,18762,0,0,782,173,177791,33825,74240,11240,124273,7186,166286,90158,1751,77230,0,185781,401,-9999999,185,96,96,380,380,386,210.2,236.68,1113.2,1345.16,245,5
146,45017,872,336,171,166,0,303,335180,136533,11757,0,0,437,161,155822,41518,68111,8123,127192,606,179358,105252,373,68422,234362,191174,186,-9999999,34,73,73,268,268,269,113,196.23,595,946.13,143,146
5,24469,3093,338,173,172,0,1023,217738,85354,22970,0,0,435,172,158028,30420,21866,7942,40479,1182,59710,37769,1207,63488,0,126521,215,-9999999,183,702,702,1709,1709,1576,0,127.65,0,680.83,0,5
34,7758,1123,166,172,170,0,416,190961,63254,23642,0,0,208,142,106190,30474,30998,11843,51950,330,84771,44000,395,32256,169597,110246,109,-9999999,19,1965,1965,3000,3000,1625,148,154.3,870,920.87,278,34
94,985,2106,314,173,172,0,669,68690,20190,11021,0,0,441,171,32116,8374,11757,6912,21372,1518,36574,24759,602,8433,0,45273,261,-9999999,28,33,33,58,58,41,199,313,995,1308.2,199,94
74,8353,313,156,136,122,0,121,32385,9545,2582,0,0,212,84,20940,2484,2090,1279,7008,692,11445,5649,111,7455,1885,19909,88,-9999999,6,1299,1299,2999,2999,1944,91,166.85,455,887.54,91,74
5,619,0,0,172,0,0,0,56932,15911,3975,0,0,91,172,0,0,15911,3975,27033,523,56932,31128,0,0,0,31128,42,-9999999,0,3,3,20,20,20,0,0,0,192.65,0,5
62,12812,630,141,159,149,0,160,90399,25190,9668,0,0,188,141,60307,22268,8258,2877,14795,3386,30092,14095,204,16932,80298,37834,66,-9999999,8,14,14,44,44,46,83,83.3,373.49,545.03,93,62
5,25927,1350,392,173,171,0,461,247396,89740,15368,0,0,540,160,113187,19058,44286,7592,110057,3960,134209,64843,537,45454,0,120225,197,-9999999,58,22,22,105,105,117,0,0,0,967.16,0,5
5,12990,1497,306,170,169,0,372,1012616,198476,206365,0,0,379,169,298316,128359,126436,155533,198993,75146,714300,335244,506,72040,0,462859,186,-9999999,4,3,3,10,10,25,0,450.1,0,2682.45,0,5
5,2327,1450,165,172,171,0,431,70861,26063,7202,0,0,206,147,49826,10327,8339,1257,15592,351,21035,11102,513,17724,0,36647,80,-9999999,15,171,171,501,501,519,199,208.8,875,1138.81,199,5
5,5114,533,248,166,156,0,156,44222,18533,5727,0,0,319,111,24056,6456,8513,3783,12282,2488,20166,11451,211,10020,0,23055,142,-9999999,22,16,16,47,47,41,99,201.81,297,760.4,99,5
